review,language,voted_up,author.playtime_forever,timestamp_created,author.steamid
Buggy but fun.,spanish,True,42,1646787763,99268367
Would recommend to friends.,schinese,True,196,1665732489,57010676
Perfect for casual gaming.,english,True,3,1603693305,61371106
Not worth the money.,german,True,18,1613470137,47327243
Buggy but fun.,french,True,10,1604466271,79426200
One of the best games I've played.,russian,True,15,1654717184,79872506
Amazing soundtrack and visuals.,spanish,True,33,1634907127,20198499
Buggy but fun.,german,True,23,1610495300,47342772
Perfect for casual gaming.,russian,True,25,1628709379,54362902
Not worth the money.,russian,True,92,1694923791,10197775
Would recommend to friends.,english,True,132,1634654999,45940920
Perfect for casual gaming.,russian,True,3,1627451727,94673574
Perfect for casual gaming.,french,True,11,1674815222,33614649
Amazing soundtrack and visuals.,german,True,55,1628997889,88507230
Fantastic gameplay mechanics.,russian,False,22,1699967871,27310852
Not worth the money.,english,True,14,1648978079,88535842
Too short for the price.,french,True,17,1611726298,64564054
Perfect for casual gaming.,schinese,True,19,1684607827,72989020
Fantastic gameplay mechanics.,german,True,94,1655723671,40773482
Too short for the price.,russian,True,7,1689843595,88733130
Not worth the money.,english,True,61,1656564401,87273675
"Great game, loved the story!",schinese,False,40,1646673570,12276360
One of the best games I've played.,schinese,True,17,1678547323,59437769
Fantastic gameplay mechanics.,spanish,True,27,1615033888,41665404
Disappointed with the ending.,french,True,14,1689132960,95218477
"Great game, loved the story!",russian,True,47,1661704882,67849484
One of the best games I've played.,english,True,4,1634958762,26434343
Amazing soundtrack and visuals.,spanish,True,0,1617028708,54079273
Buggy but fun.,french,False,49,1604035851,50201137
Would recommend to friends.,spanish,True,10,1647685442,82571674
Disappointed with the ending.,german,True,3,1634045504,90497273
Amazing soundtrack and visuals.,french,True,25,1682396202,90954884
Not worth the money.,french,True,2,1635610155,67235484
Amazing soundtrack and visuals.,russian,True,108,1629469068,72182821
Buggy but fun.,french,True,1,1630185054,86835154
Not worth the money.,spanish,True,43,1609702701,90768647
Disappointed with the ending.,french,True,28,1678262145,93273068
Buggy but fun.,russian,True,55,1633127676,33020885
,russian,True,19,1602976242,11286643
Would recommend to friends.,german,False,8,1637317456,87031056
Disappointed with the ending.,spanish,True,200,1627812615,51869822
Too short for the price.,schinese,True,91,1644653148,16200646
One of the best games I've played.,schinese,False,98,1604833177,84092760
Disappointed with the ending.,french,False,14,1699952217,24509187
One of the best games I've played.,german,True,1,1608454561,37780899
Not worth the money.,english,False,18,1645932658,15409861
Too short for the price.,french,True,38,1602597480,98825083
Would recommend to friends.,german,True,19,1623151417,65478034
Buggy but fun.,spanish,True,87,1639673332,22831595
Perfect for casual gaming.,spanish,True,15,1619699313,85524262
Amazing soundtrack and visuals.,spanish,False,167,1616934380,87189210
"Great game, loved the story!",spanish,True,30,1610617244,10448345
Would recommend to friends.,spanish,False,92,1634086263,86246546
Too short for the price.,german,False,10,1670098339,84936358
Perfect for casual gaming.,german,False,26,1650234072,25814828
Would recommend to friends.,russian,True,60,1695481108,58763532
Too short for the price.,schinese,True,7,1603369720,48538877
Fantastic gameplay mechanics.,spanish,True,7,1671819939,83851335
Fantastic gameplay mechanics.,english,True,174,1691008393,54196734
One of the best games I've played.,german,False,62,1673963364,99630668
,english,False,2,1602640328,90558427
Fantastic gameplay mechanics.,english,True,25,1625856919,48503931
Too short for the price.,english,True,28,1657658082,29164528
One of the best games I've played.,russian,True,68,1693437616,97580056
Too short for the price.,german,True,14,1655395426,30812709
One of the best games I've played.,english,False,10,1627348975,99589817
Would recommend to friends.,spanish,True,4,1611552291,62203051
Perfect for casual gaming.,french,True,27,1600070640,49301804
Buggy but fun.,english,True,58,1677498463,14848287
Disappointed with the ending.,russian,True,2,1662976036,61152700
Perfect for casual gaming.,german,True,123,1685241611,53750190
Not worth the money.,russian,True,29,1697684848,79334164
Too short for the price.,english,True,13,1603741196,62187215
Not worth the money.,german,True,4,1690876182,88998740
Perfect for casual gaming.,french,True,10,1619511512,65257851
One of the best games I've played.,english,True,136,1683692386,58518372
Disappointed with the ending.,russian,True,50,1640260456,22842659
Disappointed with the ending.,schinese,True,36,1611720477,43978002
"Great game, loved the story!",spanish,True,53,1613217648,12373139
Disappointed with the ending.,russian,False,28,1622558781,65553464
Buggy but fun.,german,True,65,1659946863,52801198
Disappointed with the ending.,english,False,2,1662784216,28892008
Perfect for casual gaming.,spanish,True,41,1632425301,45427853
"Great game, loved the story!",english,True,8,1670373772,66882318
Perfect for casual gaming.,german,True,6,1688146618,83190814
Perfect for casual gaming.,english,True,20,1626778642,20986868
Amazing soundtrack and visuals.,schinese,False,4,1660995760,50480309
"Great game, loved the story!",spanish,True,4,1695499875,49521538
Perfect for casual gaming.,spanish,True,18,1646547339,88815702
Amazing soundtrack and visuals.,german,True,194,1690372540,70972984
Amazing soundtrack and visuals.,schinese,True,9,1614573458,48673354
"Great game, loved the story!",russian,True,0,1647911176,65454431
Not worth the money.,english,False,72,1629264326,75557447
One of the best games I've played.,french,True,82,1682896667,93845477
Buggy but fun.,english,True,21,1653953229,87982667
One of the best games I've played.,english,False,31,1688132318,65860631
Disappointed with the ending.,russian,True,52,1656294783,67681017
Buggy but fun.,english,False,2,1659145779,12667867
Disappointed with the ending.,schinese,True,148,1646977874,66987271
Perfect for casual gaming.,schinese,True,108,1629365614,51241273
